Occupation,Sector,stat,Occupation_FR,Sector_FR
Non-Tech Work,Other,51700,Travail non technologique,Autre
Non-Tech Work,Nonprofit,37800,Travail non technologique,Organisme à but non lucratif
Tech Work,Other,93049,Travail technologique,Autre
Tech Work,Nonprofit,62130,Travail technologique,Organisme à but non lucratif
