pie,census.year,Gender,mean_empin.roundedVals
46,2016,Women,25.75
46,2021,Women,26.3
47,2001,Women,21.4
47,2006,Women,22.6
47,2011,Women,25.12
47,2016,Women,26.1
47,2021,Women,26.6
48,2001,Women,21.6
48,2006,Women,22.9
48,2011,Women,25.48
48,2016,Women,26.4
48,2021,Women,26.9
49,2001,Women,21.9
49,2006,Women,23.2
49,2011,Women,25.8
49,2016,Women,26.75
49,2021,Women,27.2
50,2001,Women,22.1
50,2006,Women,23.5
50,2011,Women,26.15
50,2016,Women,27.1
50,2021,Women,27.5
51,2001,Women,22.4
51,2006,Women,23.8
51,2011,Women,26.5
51,2016,Women,27.45
51,2021,Women,27.85
52,2001,Women,22.7
52,2006,Women,24.1
52,2011,Women,26.8
52,2016,Women,27.85
52,2021,Women,28.2
53,2001,Women,23.1
53,2006,Women,24.4
53,2011,Women,27.15
53,2016,Women,28.2
53,2021,Women,28.5
54,2001,Women,23.3
54,2006,Women,24.7
54,2011,Women,27.5
54,2016,Women,28.55
54,2021,Women,28.8
55,2001,Women,23.6
55,2006,Women,25
55,2011,Women,27.8
55,2016,Women,28.9
55,2021,Women,29.15
56,2001,Women,24
56,2006,Women,25.3
56,2011,Women,28.15
56,2016,Women,29.3
56,2021,Women,29.5
57,2001,Women,24
57,2006,Women,25.6
57,2011,Women,28.5
57,2016,Women,29.65
57,2021,Women,29.8
58,2001,Women,24.3
58,2006,Women,25.9
58,2011,Women,28.9
58,2016,Women,30.05
58,2021,Women,30.15
59,2001,Women,24.7
59,2006,Women,26.3
59,2011,Women,29.25
59,2016,Women,30.4
59,2021,Women,30.5
60,2001,Women,25
60,2006,Women,26.6
60,2011,Women,29.6
60,2016,Women,30.8
60,2021,Women,30.9
61,2001,Women,25.2
61,2006,Women,26.9
61,2011,Women,29.95
61,2016,Women,31.15
61,2021,Women,31.25
62,2001,Women,25.6
62,2006,Women,27.2
62,2011,Women,30.35
62,2016,Women,31.5
62,2021,Women,31.6
63,2001,Women,25.9
63,2006,Women,27.6
63,2011,Women,30.8
63,2016,Women,31.95
63,2021,Women,32
64,2001,Women,26.3
64,2006,Women,27.9
64,2011,Women,31.2
64,2016,Women,32.3
64,2021,Women,32.4
65,2001,Women,26.7
65,2006,Women,28.3
65,2011,Women,31.5
65,2016,Women,32.7
65,2021,Women,32.8
66,2001,Women,27
66,2006,Women,28.7
66,2011,Women,31.85
66,2016,Women,33.1
66,2021,Women,33.2
67,2001,Women,27.4
67,2006,Women,29.1
67,2011,Women,32.3
67,2016,Women,33.5
67,2021,Women,33.5
68,2001,Women,27.8
68,2006,Women,29.4
68,2011,Women,32.7
68,2016,Women,34
68,2021,Women,34
69,2001,Women,28.2
69,2006,Women,29.9
69,2011,Women,33.1
69,2016,Women,34.5
69,2021,Women,34.4
70,2001,Women,28.7
70,2006,Women,30.2
70,2011,Women,33.5
70,2016,Women,34.9
70,2021,Women,34.9
71,2001,Women,28.9
71,2006,Women,30.6
71,2011,Women,34
71,2016,Women,35.4
71,2021,Women,35.3
72,2001,Women,29.3
72,2006,Women,31.1
72,2011,Women,34.4
72,2016,Women,35.9
72,2021,Women,35.8
73,2001,Women,29.8
73,2006,Women,31.5
73,2011,Women,34.9
73,2016,Women,36.4
73,2021,Women,36.3
74,2001,Women,30.2
74,2006,Women,31.9
74,2011,Women,35.4
74,2016,Women,36.8
74,2021,Women,36.8
75,2001,Women,30.7
75,2006,Women,32.4
75,2011,Women,35.9
75,2016,Women,37.4
75,2021,Women,37.3
76,2001,Women,31.2
76,2006,Women,32.8
76,2011,Women,36.4
76,2016,Women,37.9
76,2021,Women,37.8
77,2001,Women,31.6
77,2006,Women,33.4
77,2011,Women,37
77,2016,Women,38.5
77,2021,Women,38.4
78,2001,Women,32.2
78,2006,Women,33.8
78,2011,Women,37.5
78,2016,Women,39.1
78,2021,Women,39.1
79,2001,Women,32.8
79,2006,Women,34.4
79,2011,Women,38.1
79,2016,Women,39.8
79,2021,Women,39.7
80,2001,Women,33.4
80,2006,Women,34.8
80,2011,Women,38.7
80,2016,Women,40.4
80,2021,Women,40.4
81,2001,Women,33.8
81,2006,Women,35.4
81,2011,Women,39.4
81,2016,Women,41.1
81,2021,Women,41.2
82,2001,Women,34.6
82,2006,Women,36.2
82,2011,Women,40
82,2016,Women,41.9
82,2021,Women,42
83,2001,Women,35.2
83,2006,Women,36.8
83,2011,Women,40.7
83,2016,Women,42.8
83,2021,Women,42.8
84,2001,Women,36
84,2006,Women,37.4
84,2011,Women,41.5
84,2016,Women,43.6
84,2021,Women,43.7
85,2001,Women,36.8
85,2006,Women,38.2
85,2011,Women,42.3
85,2016,Women,44.5
85,2021,Women,44.7
86,2001,Women,37.8
86,2006,Women,38.8
86,2011,Women,43.2
86,2016,Women,45.5
86,2021,Women,45.9
87,2001,Women,38.4
87,2006,Women,39.8
87,2011,Women,44.3
87,2016,Women,46.7
87,2021,Women,47.2
88,2001,Women,39.4
88,2006,Women,40.8
88,2011,Women,45.4
88,2016,Women,47.9
88,2021,Women,48.7
89,2001,Women,40.4
89,2006,Women,41.8
89,2011,Women,46.7
89,2016,Women,49.4
89,2021,Women,50.5
90,2001,Women,41.8
90,2006,Women,42.8
90,2011,Women,48.1
90,2016,Women,51.1
90,2021,Women,52.4
91,2001,Women,43.4
91,2006,Women,44.2
91,2011,Women,49.7
91,2016,Women,53
91,2021,Women,54.7
92,2001,Women,45
92,2006,Women,46.2
92,2011,Women,51.7
92,2016,Women,55.3
92,2021,Women,57.8
93,2001,Women,47.4
93,2006,Women,48.2
93,2011,Women,54.3
93,2016,Women,58.3
93,2021,Women,61.8
94,2001,Women,50
94,2006,Women,50.8
94,2011,Women,57.8
94,2016,Women,62
94,2021,Women,67.4
95,2001,Women,53.8
95,2006,Women,54.4
95,2011,Women,62.1
95,2016,Women,67
95,2021,Women,75.8
96,2001,Women,59.6
96,2006,Women,59.4
96,2011,Women,69
96,2016,Women,74.4
96,2021,Women,90
97,2001,Women,68.8
97,2006,Women,67.2
97,2011,Women,79
97,2016,Women,87.6
97,2021,Women,116.2
98,2001,Women,86
98,2006,Women,84
98,2011,Women,103.6
98,2016,Women,113.4
98,2021,Women,178.8
99,2001,Women,138
99,2006,Women,147
99,2011,Women,186.4
99,2016,Women,204
99,2021,Women,354
100,2001,Women,500
100,2006,Women,568
100,2011,Women,752
100,2016,Women,1072
100,2021,Women,968
0,2001,Men,0.28
0,2006,Men,0.325
0,2011,Men,0.1348
0,2016,Men,0.3055
0,2021,Men,0.344
1,2001,Men,1.568
1,2006,Men,1.676
1,2011,Men,1.4
1,2016,Men,1.668
1,2021,Men,1.708
2,2001,Men,2.995
2,2006,Men,3.14
2,2011,Men,3.23
2,2016,Men,3.46
2,2021,Men,3.68
3,2001,Men,4.26
3,2006,Men,4.25
3,2011,Men,4.63
3,2016,Men,4.95
3,2021,Men,5.51
4,2001,Men,5.33
4,2006,Men,5.33
4,2011,Men,5.92
4,2016,Men,6.32
4,2021,Men,7.18
5,2001,Men,6.39
5,2006,Men,6.24
5,2011,Men,7.1
5,2016,Men,7.62
5,2021,Men,8.64
6,2001,Men,7.32
6,2006,Men,7.08
6,2011,Men,8.16
6,2016,Men,8.76
6,2021,Men,9.94
7,2001,Men,8.14
7,2006,Men,7.88
7,2011,Men,9.1
7,2016,Men,9.72
7,2021,Men,11.06
8,2001,Men,8.98
8,2006,Men,8.66
8,2011,Men,9.96
8,2016,Men,10.62
8,2021,Men,12.04
9,2001,Men,9.68
9,2006,Men,9.28
9,2011,Men,10.84
9,2016,Men,11.4
9,2021,Men,12.92
10,2001,Men,10.24
10,2006,Men,9.92
10,2011,Men,11.6
10,2016,Men,12.16
10,2021,Men,13.68
11,2001,Men,10.92
11,2006,Men,10.5
11,2011,Men,12.28
11,2016,Men,12.88
11,2021,Men,14.4
12,2001,Men,11.52
12,2006,Men,11.02
12,2011,Men,12.88
12,2016,Men,13.52
12,2021,Men,15.08
13,2001,Men,12.06
13,2006,Men,11.56
13,2011,Men,13.48
13,2016,Men,14.16
13,2021,Men,15.72
14,2001,Men,12.56
14,2006,Men,12.08
14,2011,Men,14.04
14,2016,Men,14.72
14,2021,Men,16.28
15,2001,Men,13
15,2006,Men,12.56
15,2011,Men,14.6
15,2016,Men,15.2
15,2021,Men,16.84
16,2001,Men,13.48
