name,groupName,subGroupName,count,score,digital_assign,pct,lv.mod
Spring Boot,Technologies,Application server software,930,10.185771542914654,1,0.13090571269715034,Software/Product Development skills
Spring Framework,Technologies,Web platform development software,304,10.811030112344898,1,0.042790684580573876,Software/Product Development skills
Springshare LibGuides,Technologies,Web platform development software,2,96.18147331193447,1,2.815176617143018e-4,Design and Marketing skills
SPSS,Technologies,Analytical or scientific software,879,68.9377588239105,1,0.12372701232343565,Industrial Modelling and Geospatial Software skills
SQL (Structured query language),Technologies,Data base user interface and query software,16601,37.16805764729526,1,2.336737351059562,Software/Product Development skills
SQLite,Technologies,Data base management system software,28,12.084827365401445,1,0.0039412472640002255,Software/Product Development skills
Squat racks,Tools and Equipment,Miscellaneous or unclassified,10,271.323692781239,0,0.001407588308571509,NA
SSL,Technologies,Transaction security and virus protection software,471,51.656792382090586,1,0.06629740933371807,Software/Product Development skills
Stack smashing protection SSP software,Technologies,Transaction security and virus protection software,1,54.8430157541775,1,1.407588308571509e-4,Industrial Modelling and Geospatial Software skills
Staff Development,Occupational Skills,Human resources,2436,167.80986164092366,0,0.3428885119680196,NA
Staff scheduling software,Technologies,Calendar and scheduling software,3,184.2048408069131,1,4.2227649257145267e-4,Workforce digital skills
Stage lighting equipment,Tools and Equipment,Miscellaneous or unclassified,5,77.63151742029083,0,7.037941542857545e-4,NA
Staging equipment,Tools and Equipment,Miscellaneous or unclassified,9,321.3173233893345,0,0.0012668294777143582,NA
Stamping dies,Tools and Equipment,Miscellaneous or unclassified,24,244.989718289919,0,0.0033782119405716213,NA
Stamping equipment,Tools and Equipment,Miscellaneous or unclassified,3,283.6833219210722,0,4.2227649257145267e-4,NA
Stamping presses,Tools and Equipment,Miscellaneous or unclassified,43,232.995020781436,0,0.006052629726857489,NA
Stamping tools,Tools and Equipment,Miscellaneous or unclassified,3,266.5185348913834,0,4.2227649257145267e-4,NA
Stand mixers,Tools and Equipment,Miscellaneous or unclassified,4,374.1606580073395,0,5.630353234286036e-4,NA
Standard generalized markup language SGML,Technologies,Development environment software,6,138.77559592398745,1,8.445529851429053e-4,Software/Product Development skills
Standard operating procedures (SOPs),Occupational Skills,Business analysis,6739,214.34516681932328,0,0.94857376114634,NA
STARLIMS,Technologies,Analytical or scientific software,9,146.07932024227304,1,0.0012668294777143582,Workforce digital skills
Stata,Technologies,Analytical or scientific software,228,58.556402212262185,1,0.032093013435430404,Industrial Modelling and Geospatial Software skills
Stationary pumps,Tools and Equipment,Miscellaneous or unclassified,1,314.95484211640246,0,1.407588308571509e-4,NA
Statistical analysis software,Technologies,Analytical or scientific software,86,76.22302677179027,1,0.012105259453714977,Industrial Modelling and Geospatial Software skills
Statistical software,Technologies,Analytical or scientific software,677,66.42591123759635,1,0.09529372849029116,Industrial Modelling and Geospatial Software skills
Statistics databases,Technologies,Data base user interface and query software,39,114.34642420051492,1,0.005489594403428885,Workforce digital skills
Statistics software,Technologies,Analytical or scientific software,55,87.03714068603387,1,0.0077417356971433,Industrial Modelling and Geospatial Software skills
Steam-assisted gravity drainage (SAGD),Occupational Skills,Manufacturing,19,243.17388979285306,0,0.0026744177862858673,NA
Steam baths,Tools and Equipment,Miscellaneous or unclassified,6,253.29047385239338,0,8.445529851429053e-4,NA
