name,groupName,subGroupName,count,score,digital_assign,pct,lv.mod
 TACL (Tandem advanced command language),Technologies,Object or component oriented development software,1,78.70787514789629,1,0.0023518344308560675,Software/Product Development skills
3D Design,Technologies,Computer aided design CAD software,12,109.69579570446625,1,0.02822201317027281,Industrial Modelling and Geospatial Software skills
3D graphics software,Technologies,Graphics or photo imaging software,4,51.14533694448034,1,0.00940733772342427,Design and Marketing skills
3D modelling,Technologies,Computer aided design CAD software,26,86.3481363980824,1,0.06114769520225777,Industrial Modelling and Geospatial Software skills
3D Printing,Technologies,Computer aided design CAD software,31,175.81356907953793,1,0.0729068673565381,Industrial Modelling and Geospatial Software skills
3D Scanning,Technologies,Computer aided design CAD software,6,135.93549820923033,1,0.014111006585136405,Industrial Modelling and Geospatial Software skills
4G / LTE technology,Technologies,Networking and telecommunications,41,82.3638769105564,1,0.09642521166509878,Software/Product Development skills
5G technology,Technologies,Networking and telecommunications,352,67.52248461204871,1,0.8278457196613359,Software/Product Development skills
5S Methodology,Occupational Skills,Business planning and operations,12,229.80245026909896,0,0.02822201317027281,NA
A programming language APL,Technologies,Development environment software,15,57.253402740638236,1,0.03527751646284102,Software/Product Development skills
Ab Initio,Technologies,Enterprise resource planning ERP software,14,62.909930906297895,1,0.03292568203198495,Software/Product Development skills
Ability to Learn,Social-Emotional Skills,Cognitive,1524,236.1616075148761,0,3.5841956726246473,NA
Acceptance Test Procedures,Technologies,Quality Control,4,158.50185879467514,1,0.00940733772342427,Workforce digital skills
Access control systems,Tools and Equipment,Security,64,133.5234480979953,0,0.15051740357478832,NA
Access management software,Technologies,Access software,4,133.36937723344514,1,0.00940733772342427,Cybersecurity and System Infrastructure skills
Access servers,Tools and Equipment,Miscellaneous or unclassified,16,63.809928466050756,1,0.03762935089369708,Cybersecurity and System Infrastructure skills
Account management software,Technologies,Accounting software,4,154.16041029059727,1,0.00940733772342427,Workforce digital skills
Accounting,Occupational Skills,Corporate finance and accounting,295,157.89825604427253,0,0.6937911571025399,NA
Accounting software,Technologies,Accounting software,83,155.20451021034103,1,0.19520225776105363,Workforce digital skills
ACL Analytics,Technologies,Financial analysis software,2,67.13492906345664,1,0.004703668861712135,Cybersecurity and System Infrastructure skills
ACLS (Advanced Cardiac Life Support),Occupational Skills,Health services,21,193.86753103449456,0,0.049388523047977424,NA
ActionScript,Technologies,Development environment software,10,16.186494061312114,1,0.023518344308560677,Software/Product Development skills
Active directory software,Technologies,Internet directory services software,1,78.92620020046846,1,0.0023518344308560675,Cybersecurity and System Infrastructure skills
Acumatica,Technologies,Cloud Computing,16,138.8730893887343,1,0.03762935089369708,Workforce digital skills
Ada,Technologies,Development environment software,47,39.41355368946003,1,0.11053621825023519,Software/Product Development skills
Adaptive Planning,Technologies,Enterprise resource planning ERP software,3,111.24784057236216,1,0.007055503292568203,Workforce digital skills
Addressing software,Technologies,Word processing software,1,13.125,1,0.0023518344308560675,Cybersecurity and System Infrastructure skills
Adjustable beds,Tools and Equipment,Miscellaneous or unclassified,3,215.0152399717826,0,0.007055503292568203,NA
"Admissions, discharge, and transfer ADT software",Technologies,Medical software,2,217.66807246976518,1,0.004703668861712135,Workforce digital skills
Adobe Systems Adobe Acrobat,Technologies,Document management software,199,140.4220065791063,1,0.4680150517403575,Workforce digital skills
Adobe Systems Adobe After Effects,Technologies,Video creation and editing software,4,74.58311216876203,1,0.00940733772342427,Design and Marketing skills
Adobe Systems Adobe Captivate,Technologies,Computer based training software,9,74.2785469628622,1,0.02116650987770461,Design and Marketing skills
Adobe Systems Adobe ColdFusion,Technologies,Web platform development software,21,9.38267583583457,1,0.049388523047977424,Software/Product Development skills
Adobe Systems Adobe Creative Cloud,Technologies,Graphics or photo imaging software,46,95.40753550998814,1,0.10818438381937912,Design and Marketing skills
Adobe Systems Adobe Creative Suite,Technologies,Development environment software,69,106.6189041751301,1,0.16227657572906867,Design and Marketing skills
Adobe Systems Adobe Dreamweaver,Technologies,Web page creation and editing software,59,68.29928377298904,1,0.138758231420508,Design and Marketing skills
Adobe Systems Adobe Experience Manager (AEM),Technologies,Web page creation and editing software,84,111.4802994305961,1,0.1975540921919097,Software/Product Development skills
Adobe Systems Adobe Flash,Technologies,Graphics or photo imaging software,46,20.005134653698896,1,0.10818438381937912,Design and Marketing skills
Adobe Systems Adobe FrameMaker,Technologies,Desktop publishing software,2,95.77070375019416,1,0.004703668861712135,Design and Marketing skills
Adobe Systems Adobe FreeHand,Technologies,Graphics or photo imaging software,13,31.705660787835807,1,0.030573847601128884,Design and Marketing skills
Adobe Systems Adobe Illustrator,Technologies,Graphics or photo imaging software,221,87.37061777122389,1,0.519755409219191,Design and Marketing skills
Adobe Systems Adobe InDesign,Technologies,Desktop publishing software,15,106.8062432660996,1,0.03527751646284102,Design and Marketing skills
Adobe Systems Adobe Photoshop,Technologies,Graphics or photo imaging software,381,100.58953188944446,1,0.8960489181561618,Design and Marketing skills
Adobe Systems Adobe Premiere Pro,Technologies,Video creation and editing software,71,62.77958637660162,1,0.1669802445907808,Design and Marketing skills
ADP software,Technologies,Enterprise resource planning ERP software,1,171.14870584498587,1,0.0023518344308560675,Workforce digital skills
ADP Workforce Now,Technologies,Human resources software,14,186.90957318596205,1,0.03292568203198495,Workforce digital skills
Advanced business application programming ABAP,Technologies,Object or component oriented development software,48,11.332248626897467,1,0.11288805268109124,Software/Product Development skills
Advanced product quality planning (APQP),Occupational Skills,Quality management,4,123.93164118542082,0,0.00940733772342427,NA
Advent Axys,Technologies,Financial analysis software,1,11.5384001064821,1,0.0023518344308560675,Workforce digital skills
Advocacy Skills ,Social-Emotional Skills,Interpersonal,1,203.45010391837639,0,0.0023518344308560675,NA
Aerial lift trucks,Tools and Equipment,Miscellaneous or unclassified,6,58.42754299541487,1,0.014111006585136405,NA
Aerial lifts,Tools and Equipment,Lifting equipment,12,317.39308158049425,0,0.02822201317027281,NA
Agency management software,Technologies,Enterprise resource planning ERP software,5,21.30542198006619,1,0.011759172154280339,Workforce digital skills
Agile Software Development,Occupational Skills,Software and web development,5504,57.783360067823104,1,12.944496707431796,Software/Product Development skills
Air cleaners,Tools and Equipment,Miscellaneous or unclassified,1,229.2819818623925,0,0.0023518344308560675,NA
Air conditioning systems,Tools and Equipment,Building and facilities,14,200.80965009103062,0,0.03292568203198495,NA
Air conditioning units,Tools and Equipment,Building and facilities,2,238.47441136844327,0,0.004703668861712135,NA
Air Handling systems,Tools and Equipment,Building and facilities,7,207.11590201813868,0,0.016462841015992474,NA
Air quality,Occupational Skills,Environmental and social sustainability,14,204.84269542939762,0,0.03292568203198495,NA
Airport surveillance radar ASR systems,Tools and Equipment,Miscellaneous or unclassified,10,67.16091925599895,1,0.023518344308560677,NA
AJAX,Technologies,Web platform development software,343,35.343817133530635,1,0.8066792097836312,Software/Product Development skills
Alarm systems,Tools and Equipment,Security,78,192.26798636414912,0,0.1834430856067733,NA
Alignment tools,Tools and Equipment,Miscellaneous or unclassified,2,195.00271183449146,0,0.004703668861712135,NA
Allscripts,Technologies,Medical software,2,149.04373208235748,1,0.004703668861712135,Workforce digital skills
Altium Designer,Technologies,Computer aided design CAD software,18,21.30114049410986,1,0.04233301975540922,Software/Product Development skills
Amazing Charts,Technologies,Medical software,4,12.16291466503224,1,0.00940733772342427,Workforce digital skills
Amazon DynamoDB,Technologies,Data base management system software,1,30.742255590172373,1,0.0023518344308560675,Software/Product Development skills
Amazon Kinesis,Technologies,Data base management system software,4,15.7202010050251,1,0.00940733772342427,Software/Product Development skills
Amazon Web Services (AWS),Technologies,Cloud Computing,3220,38.962569937936955,1,7.572906867356538,Software/Product Development skills
American Sign Language (ASL),Social-Emotional Skills,Languages,4,230.60429309693922,0,0.00940733772342427,NA
AMPL (A mathematical programming language),Technologies,Analytical or scientific software,1,11.5384001064821,1,0.0023518344308560675,Software/Product Development skills
Analysis and building software,Technologies,Analytical or scientific software,6,107.03885350744748,1,0.014111006585136405,Software/Product Development skills
Analytical Skills,Occupational Skills,Analysis and research,6799,137.74110370501006,0,15.990122295390405,NA
Analytical software,Technologies,Analytical or scientific software,55,81.07729459181792,1,0.12935089369708375,Software/Product Development skills
Android,Technologies,Operating system software,863,34.05246525131762,1,2.0296331138287864,Software/Product Development skills
AngularJS,Technologies,Web platform development software,1004,11.064055686390063,1,2.361241768579492,Software/Product Development skills
Animation,Occupational Skills,Video production and computer graphics,2064,98.98556913036735,1,4.854186265286923,Design and Marketing skills
Animation software,Technologies,Graphics or photo imaging software,522,13.088207849766752,1,1.2276575729068673,Design and Marketing skills
Ansible software,Technologies,Expert system software,651,21.67634477754636,1,1.5310442144873002,Software/Product Development skills
ANSYS,Technologies,Analytical or scientific software,5,102.1745110667491,1,0.011759172154280339,Industrial Modelling and Geospatial Software skills
Antenna analyzers,Tools and Equipment,Miscellaneous or unclassified,3,14.2870904241973,1,0.007055503292568203,Software/Product Development skills
Anti-Money Laundering,Occupational Skills,Banking and insurance,222,133.43523751601853,0,0.522107243650047,NA
Antivirus software,Technologies,Transaction security and virus protection software,31,50.963190533475796,1,0.0729068673565381,Cybersecurity and System Infrastructure skills
Apache Ant,Technologies,Development environment software,16,3.6618236874537513,1,0.03762935089369708,Software/Product Development skills
Apache Avro,Technologies,Information retrieval or search software,1,72.92833784233908,1,0.0023518344308560675,Software/Product Development skills
Apache Cassandra,Technologies,Data base management system software,9,7.49960898640786,1,0.02116650987770461,Software/Product Development skills
Apache Flume,Technologies,Data base management system software,1,15.7202010050251,1,0.0023518344308560675,Software/Product Development skills
Apache Groovy,Technologies,Object or component oriented development software,3,29.46644730156418,1,0.007055503292568203,Software/Product Development skills
Apache Hadoop,Technologies,Data base management system software,813,27.948929893512208,1,1.912041392285983,Software/Product Development skills
Apache Hbase,Technologies,Data base management system software,2,3.38931297709924,1,0.004703668861712135,Software/Product Development skills
Apache Hive,Technologies,Data base management system software,11,27.798324127796803,1,0.025870178739416747,Software/Product Development skills
Apache HTTP Server,Technologies,Portal server software,1,13.125,1,0.0023518344308560675,Software/Product Development skills
Apache Jmeter,Technologies,Object or component oriented development software,159,19.66987259528218,1,0.37394167450611476,Software/Product Development skills
Apache Kafka,Technologies,Development environment software,861,19.275245212849526,1,2.024929444967074,Software/Product Development skills
Apache MapReduce,Technologies,Big Data,40,34.141939514832345,1,0.09407337723424271,Software/Product Development skills
Apache Maven,Technologies,Development environment software,22,14.017410458264,1,0.051740357478833494,Software/Product Development skills
Apache Pig,Technologies,Data base management system software,7,33.27354867509155,1,0.016462841015992474,Software/Product Development skills
Apache Solr,Technologies,Data base management system software,7,24.27290862738774,1,0.016462841015992474,Software/Product Development skills
Apache Spark,Technologies,Object or component oriented development software,185,19.485331672551915,1,0.43508936970837253,Software/Product Development skills
Apache Sqoop,Technologies,Data base management system software,7,13.958645572464263,1,0.016462841015992474,Software/Product Development skills
Apache Struts,Technologies,Web platform development software,4,21.59651534860816,1,0.00940733772342427,Software/Product Development skills
Apache Subversion,Technologies,File versioning software,1,5.38461538461538,1,0.0023518344308560675,Software/Product Development skills
Apache Tomcat,Technologies,Web platform development software,102,20.707296011371483,1,0.2398871119473189,Software/Product Development skills
Apache Webserver,Technologies,Portal server software,4,7.111055435019994,1,0.00940733772342427,Software/Product Development skills
APL (A programming language),Technologies,Object or component oriented development software,28,50.608198052540786,1,0.0658513640639699,Software/Product Development skills
Apple Mac OS X,Technologies,Operating system software,92,81.37118834843281,1,0.21636876763875823,Cybersecurity and System Infrastructure skills
Apple macOS,Technologies,Operating system software,124,16.535203872925827,1,0.2916274694261524,Cybersecurity and System Infrastructure skills
Apple Pages,Technologies,Word processing software,2,85.97458172118921,1,0.004703668861712135,Design and Marketing skills
