name,groupName,subGroupName,count,m,score,digital_assign,pct,lv.mod
Alarm systems,Tools and Equipment,Security,88,305.294320837491,192.26798636414912,0,0.107085924285384,NA
Aligners,Tools and Equipment,Miscellaneous or unclassified,1,258.411496389103,259.3910265692378,0,0.0012168855032429998,NA
Allscripts,Technologies,Medical software,10,162.01992066540194,149.04373208235748,1,0.012168855032429999,Workforce digital skills
Allscripts Sunrise Clinical Manager,Technologies,Medical software,64,192.14016603196526,190.09774164185106,1,0.07788067220755199,Workforce digital skills
ALS (Advanced Life Support),Occupational Skills,Health services,789,198.44812594594381,199.99321790989362,0,0.9601226620587269,NA
Altium Designer,Technologies,Computer aided design CAD software,1,NA,21.30114049410986,1,0.0012168855032429998,Software/Product Development skills
Amazon Web Services (AWS),Technologies,Cloud Computing,56,38.63690623123135,38.962569937936955,1,0.06814558818160799,Software/Product Development skills
American Sign Language (ASL),Social-Emotional Skills,Languages,105,211.6881744936726,230.60429309693922,0,0.12777297784051497,NA
Analytical Skills,Occupational Skills,Analysis and research,5222,147.3917921753709,137.74110370501006,0,6.354576097934945,NA
Analytical software,Technologies,Analytical or scientific software,12,25.4895625783236,81.07729459181792,1,0.014602626038916,Software/Product Development skills
Anatomical models,Tools and Equipment,Miscellaneous or unclassified,3,114.48681191398234,109.99158242569249,0,0.003650656509729,NA
Android,Technologies,Operating system software,18,43.913560154776846,34.05246525131762,1,0.021903939058373997,Software/Product Development skills
Anesthesia carts,Tools and Equipment,Miscellaneous or unclassified,2,328.030629853322,312.57083022084026,0,0.0024337710064859996,NA
Anesthesia machines,Tools and Equipment,Miscellaneous or unclassified,3,219.205943489546,218.62188324712534,0,0.003650656509729,NA
AngularJS,Technologies,Web platform development software,18,60.55369360821958,11.064055686390063,1,0.021903939058373997,Software/Product Development skills
Animation,Occupational Skills,Video production and computer graphics,138,191.78398854179818,98.98556913036735,1,0.16793019944753398,Design and Marketing skills
Animation software,Technologies,Graphics or photo imaging software,3,115.609486134772,13.088207849766752,1,0.003650656509729,Design and Marketing skills
Ansible software,Technologies,Expert system software,15,15.736939136470236,21.67634477754636,1,0.018253282548644997,Software/Product Development skills
